user_id,voucher,valid,language,WC_CorrAns_RT_mean_1,WC_CorrAns_RT_SD_1,WC_correct_answers_percentage_1,WC_information_1,WC_information_rate_1,MT_IC_1,MT_EC_1,MT_IW_1,MT_EW_1,MT_NG_1,MT_C_1
10106,1,1,0,NaN,NaN,83.07692307692308,0.34405792423058507,NaN,14.000000000000002,31.5,11.5,19,24,45.5
10162,1,1,0,NaN,NaN,93.84615384615384,0.6664779960690229,NaN,55.00000000000001,1,25.5,2.5,16,56.00000000000001
100,1,1,0,NaN,NaN,96.92307692307692,0.8017650359022337,NaN,14.499999999999998,65,10,4,6.5,79.5
10154,1,1,0,NaN,NaN,92.3076923076923,0.6087564363707441,NaN,0,64,0.5,34,1.5,64
10144,1,1,0,NaN,NaN,94.61538461538461,0.6974842532110048,NaN,19,40.5,11,6.5,23,59.5
10141,1,1,0,NaN,NaN,90,0.5310044064107189,NaN,0.5,62,0,34,3.5000000000000004,62.5
1068,1,1,0,NaN,NaN,88.46153846153845,0.4840530699925525,NaN,0,65,0,35,0,65
1066,1,1,0,NaN,NaN,95.38461538461539,0.7301715522969262,NaN,6,81.5,4.5,8,0,87.5
10113,1,1,0,NaN,NaN,97.6923076923077,0.8416155925271495,NaN,6.5,62,5.5,23,3,68.5
1011,1,1,0,NaN,NaN,86.92307692307692,0.44045596431133005,NaN,43,27.500000000000004,20,4.5,5,70.5
1065,1,1,0,NaN,NaN,99.23076923076923,0.9349269250453894,NaN,1.5,74.5,0,23,1,76
10165,1,1,0,NaN,NaN,96.92307692307692,0.8017650359022337,NaN,13.5,61.5,8.5,13.5,3,75
10148,1,1,0,NaN,NaN,93.84615384615384,0.6664779960690229,NaN,0,7.000000000000001,0,13.5,79.5,7.000000000000001
1038,1,1,0,NaN,NaN,96.15384615384616,0.7648066181807587,NaN,30,37.5,13.5,4,15,67.5
10137,1,1,0,NaN,NaN,97.6923076923077,0.8416155925271495,NaN,27,10,5.5,0,57.49999999999999,37
1016,1,1,0,NaN,NaN,94.61538461538461,0.6974842532110048,NaN,5,74.5,1.5,17.5,1.5,79.5
10164,1,1,0,NaN,NaN,92.3076923076923,0.6087564363707441,NaN,62,3,33,2,0,65
10112,1,1,0,NaN,NaN,93.07692307692308,0.6369535463808282,NaN,7.000000000000001,59.5,1.5,4.5,27.500000000000004,66.5
